segment_id	char_range	frame_range	speaker_id	document_id
3d13f614-0756-453c-8e33-0063600cc04e	[3810, 3818)	[11958, 11975)	T1_GP1	BE_2019_001_T_ELAN
823a5b03-94d2-47ac-8d75-6c89343f0ca9	[3818, 3853)	[12210, 12270)	T1_GP1	BE_2019_001_T_ELAN
5b2a5362-d52c-4033-9c70-0cf7c2bd4955	[3853, 3869)	[12284, 12334)	T1_GP1	BE_2019_001_T_ELAN
b4b210da-9167-4446-8b19-6578a8711de5	[3869, 3888)	[12407, 12434)	T1_GP1	BE_2019_001_T_ELAN
fde44d01-a199-424d-b4d4-02906bc59e6f	[3888, 3970)	[12437, 12526)	T1_GP1	BE_2019_001_T_ELAN
f8d43544-5f75-40c2-adee-98919770f9af	[3970, 4018)	[12527, 12578)	T1_GP1	BE_2019_001_T_ELAN
bfae994c-1c85-4f0d-90b4-af24c4bc308c	[4018, 4072)	[12578, 12638)	T1_GP1	BE_2019_001_T_ELAN
3f6e463a-3dc3-4a0d-8dee-bdd5eed3ecdf	[4072, 4239)	[12641, 12802)	T1_GP1	BE_2019_001_T_ELAN
0999a4f4-49df-4854-adde-70e6243d21a6	[4239, 4321)	[12812, 12972)	T1_GP1	BE_2019_001_T_ELAN
3a85f113-d696-4c8e-b5fe-11daccdcac71	[4321, 4323)	[13265, 13277)	T1_GP1	BE_2019_001_T_ELAN
d73f88db-04b2-4470-9e2f-4b3aafad3b71	[4323, 4342)	[13360, 13395)	T1_GP1	BE_2019_001_T_ELAN
5fa63d6f-5e04-4f1a-b7fc-042b5becea71	[4342, 4345)	[13620, 13634)	T1_GP1	BE_2019_001_T_ELAN
d0bb4ca4-cc74-45d7-b581-16e566141689	[4345, 4407)	[13757, 14037)	T1_GP1	BE_2019_001_T_ELAN
2a1ef002-c664-49a9-8418-53795619fc55	[4407, 4501)	[14038, 14285)	T1_GP1	BE_2019_001_T_ELAN
24d98904-d1ce-419e-a053-22288d21b73e	[4501, 4570)	[14290, 14377)	T1_GP1	BE_2019_001_T_ELAN
03a6246c-c3b8-4cba-8f11-3e9547c17f30	[4570, 4647)	[14480, 14612)	T1_GP1	BE_2019_001_T_ELAN
c4f3e4f4-78f0-4349-9dd4-d589e2a584a2	[4647, 4668)	[15028, 15067)	T1_GP1	BE_2019_001_T_ELAN
17d6166e-f07c-49e3-a669-04051df46a7f	[4668, 4671)	[15289, 15308)	T1_GP1	BE_2019_001_T_ELAN
365ff1aa-0038-4824-9f30-ed92c23b8d50	[4671, 4793)	[15332, 15485)	T1_GP1	BE_2019_001_T_ELAN
