sentence_id,char_range,frame_range,speaker_id,original_id
908b637a-08a1-4561-9807-e8d2ce3b6c10,"[8068,8073)","[27087,27102)",1,143
14289986-113c-4152-895b-3120c90ba69f,"[8073,8147)","[27126,27217)",1,144
8c16e133-ffcd-4e82-8943-b32d6b5f3505,"[8147,8155)","[27349,27369)",1,145
fd00b2ff-c568-4c2d-8ee3-ca8eee91c0ce,"[8155,8169)","[27424,27461)",1,146
9e9b65a3-dbfb-47bb-9077-1b9ac4f660f9,"[8169,8215)","[27483,27557)",1,147
3794ee5b-faa9-44f0-8c4c-5c393091e258,"[8215,8218)","[28173,28192)",1,70
2e79840b-d3dc-4aca-ad18-8bfc9b29b678,"[8218,8238)","[28951,28994)",1,148
636b9d5a-57c7-4f30-8191-f43f3c60e5c0,"[8238,8308)","[28994,29154)",1,149
2bb174d2-c358-46fd-a819-6840ab37bc69,"[8308,8342)","[29330,29561)",1,150
016f5375-89de-47c8-9e24-1412c04fe65c,"[8342,8345)","[29749,29771)",1,151
b84e6465-b9a0-4c8b-a2ba-d78a7ae3363e,"[8345,8430)","[30422,30543)",1,152
6e4d362a-3bee-4f59-bace-1ef0bf9efdf3,"[8430,8452)","[30740,30968)",1,153
fdf4333f-2144-43c0-9173-5f14ea51bf5a,"[8452,8481)","[31251,31463)",1,154
5634d761-f3ab-4bf7-b261-ed73d1914d67,"[8481,8504)","[31464,31557)",1,155
c3b62dca-8d87-45a7-bb6e-f6816ab0441c,"[8504,8621)","[31556,31789)",1,156
c5283145-585f-4038-9dea-95431dcbe84b,"[8621,8667)","[31788,31841)",1,157
b29efc12-9e40-4957-bc73-2d0148791069,"[8667,8785)","[31841,31956)",1,158
de6e4561-63ae-4db9-b1b6-a12921700dec,"[8785,8965)","[31964,32151)",1,159
4f39172a-2712-4902-a722-6b486b1fa481,"[8965,9008)","[32180,32260)",1,160
72849619-c89c-46bb-bfad-75e9c4ef543e,"[9008,9012)","[32279,32292)",1,161
ed4b33e9-721d-4bb5-a113-8dde82af1a50,"[9012,9182)","[32312,32541)",1,162
948382c4-2868-42a8-af32-db9033cbc880,"[9182,9303)","[32553,32711)",1,163
db5f821b-02d6-4918-ba7f-f2fec323bcd8,"[9303,9323)","[33240,33263)",1,164
794fdfa9-fec8-483b-90a8-0ed815361a5d,"[9323,9351)","[33391,33520)",1,165
b78fee23-368d-4fa0-98a1-2671fe75f8eb,"[9351,9400)","[33520,33824)",1,166
67e21241-c6b2-4b55-8025-1b7a5237aca1,"[9400,9485)","[33824,34089)",1,167
5d5ca921-cad6-4ef8-aaa3-71d395644146,"[9485,9490)","[34093,34158)",1,168
d5edac4e-9e48-4b8c-8f44-d6a0cffcba96,"[9490,9518)","[34159,34285)",1,169
f6f06ad8-555d-419b-a71a-ad9731c642bb,"[9518,9530)","[34284,34391)",1,170
c23a66c0-a7d5-4b90-a5b1-466d346086e8,"[9530,9573)","[34390,34542)",1,171
cdf4eb89-188c-4f04-99dc-680a96a9cdae,"[9573,9655)","[34542,34827)",1,172
cf1aa80b-e9bc-41d9-94f6-82dd02852d6d,"[9655,9774)","[35176,35378)",1,173
6e53e333-30ed-48da-ba08-5e7e65ffb8e7,"[9774,9811)","[35492,35587)",1,174
a6cb094f-4b18-4fb6-86c4-1f7333c49d3e,"[9811,9837)","[35588,35735)",1,175
189764d1-0be9-443e-b4c8-7549eda59dd4,"[9837,9953)","[35734,35890)",1,176
ad99c880-20c9-4247-8e26-82856623ee4f,"[9953,9989)","[35923,36013)",1,177
ad3d355a-f980-4450-9ce7-3b05443e5a58,"[9989,10069)","[36014,36140)",1,178
e57dc1cf-73ec-4792-bead-86a5440a9484,"[10069,10090)","[36142,36274)",1,179
e581947f-2155-4f1d-ac86-42d7815e8cef,"[10090,10102)","[36472,36583)",1,180
201ca63e-16a5-4850-8b11-af547a727015,"[10102,10188)","[36595,36764)",1,181
a6a988cb-f3cf-4a74-86be-ac53beef0c00,"[10188,10197)","[37034,37107)",1,182
169254b9-3ec7-4f5e-8b22-9e8ea9454af1,"[10197,10233)","[37147,37224)",1,183
1e40b912-c4ec-42ba-86df-ea7938a8b848,"[10233,10240)","[37226,37257)",1,184
911d4f62-4d0e-4ea4-80d7-b623573d64d2,"[10240,10296)","[37317,37405)",1,185
cdc8f1e5-7e70-4bed-a519-775d41cca068,"[10296,10440)","[37404,37584)",1,186
77390600-c76f-4363-9407-13e7d22c82ff,"[10440,10468)","[37754,37832)",1,187
86e1cdee-b5ee-41a0-812b-1667fc08f1c1,"[10468,10502)","[37900,38069)",1,188
a493b20d-ca98-4d75-9d15-46e63bbfefa9,"[10502,10524)","[38073,38172)",1,189
101551ae-0547-4d23-ae07-e01b368b1f2f,"[10524,10624)","[38173,38344)",1,190
204157bc-a9d4-44b9-85d1-45328767dc49,"[10624,10652)","[38346,38462)",1,191
0ce7a07d-4643-4a1a-8b93-c67d40b78f96,"[10652,10672)","[38540,38682)",1,192
0da723e7-bd08-4432-a035-da4d9c0b576b,"[10672,10706)","[38701,38905)",1,193
